# naive_pinyin dict v1
# sources: rime-ice(8105/base/ext/others)
a	啊:853,阿:753,吖:660,锕:274,腌:38
ai de li wu	爱的礼物:484
ai de ren	爱的人:638
ai deng	矮凳:335
ai di	艾迪:339
ai di sheng	爱迪生:440
ai ding bao	爱丁堡:436
ai dong	挨冻:313,爱动:242
ai dou	爱豆:549,爱都:371,挨斗:327
ai du	爱读:528
ai e	挨饿:440
ai er lan	爱尔兰:572
ai er lan ren	爱尔兰人:386
ai fa	挨罚:418
ai fei	爱妃:499
ai fei er	埃菲尔:319
ai fu	爱抚:478,爱夫:418
ai fu dun	埃弗顿:454
ai fu sen	艾弗森:352
ai gang	爱港:418,爱岗:319
ai gang jing ye	爱岗敬业:426
ai gao	哀告:376
ai ge	挨个:424,矮个:295
ai ge zi	矮个子:370
ai gong liang	爱弓凉:525
ai gou	爱狗:544
ai gui	矮柜:466
ai guo	爱国:675,爱过:627,挨过:312
ai guo de ren	爱过的人:518
ai guo jing shen	爱国精神:299
ai guo ni	爱过你:517
ai guo re qing	爱国热情:319
ai guo ren shi	爱国人士:462
ai guo tong yi zhan xian	爱国统一战线:416
ai guo wei sheng	爱国卫生:330
ai guo wei sheng yun dong	爱国卫生运动:509
ai guo wo	爱过我:491
ai guo xin	爱国心:364
ai guo yun dong	爱国运动:302
ai guo zhe	爱国者:536
ai guo zhu yi	爱国主义:566
ai guo zhu yi jiao yu	爱国主义教育:612
ai guo zhu yi jing shen	爱国主义精神:536
ai ha mai de	艾哈迈德:414
ai hai	哎嗨:418
ai hao	爱好:616,哀号:410,哀嚎:364,艾蒿:280
ai hao guang fan	爱好广泛:484
ai hao he ping	爱好和平:320
ai hao wen xue	爱好文学:290
ai hao zhe	爱好者:602
ai hao zhe men	爱好者们:546
ai he	爱河:355,爱喝:326
ai hen	爱恨:335
ai hen qing chou	爱恨情仇:525
ai hong	哀鸿:238
ai hu	爱护:572,艾虎:412,挨户:292
ai hu gong wu	爱护公物:300
ai hua	矮化:374
ai hui	瑷珲:405
ai huo	爱火:292
ai ji	埃及:646,爱己:514,矮几:418
ai ji ren	埃及人:530
ai ji yan hou	埃及艳后:487
ai jia	爱家:399,挨家:278,哀家:275
ai jia ai hu	挨家挨户:425
ai jia xiang	爱家乡:291
ai jian gu fen	爱建股份:562
ai jiang	爱讲:457,爱将:424
ai jiao	哀叫:336,矮脚:278
ai jin	挨近:384
ai jing	爱静:264
ai jiu	爱就:549,爱酒:418
ai kan	爱看:470
ai ke	艾克:422
ai ke si dao	爱克斯刀:549
ai ke xue	爱科学:532
ai kei	挨剋:472
ai kou	隘口:416
ai ku	爱哭:312,哀苦:280,哀哭:260
ai ku de	爱哭的:491
ai lai	爱来:539
ai lao	爱老:517
ai lao dong	爱劳动:312
ai le	爱了:618,挨了:599,矮了:501
ai li bu li	爱理不理:392
ai li ke	埃里克:388
ai li ke sen	埃里克森:442
ai li she	爱丽舍:326
ai li si	爱丽丝:444
ai li xin	爱立信:525
ai lian	爱莲:533,爱恋:472,爱怜:464,哀怜:362
ai lin	艾林:418,艾琳:418,埃琳:398,矮林:295
ai liu	癌瘤:341
ai long	爱龙:416
ai lu	艾露:397
ai lun	艾伦:462
ai lun tu ling	艾伦·图灵:549
ai lv	爱侣:377
ai lve te	艾略特:380
ai ma	爱吗:549,挨骂:434,矮马:433,爱马:351
ai mao	爱猫:484
ai mei	暧昧:521,爱美:502
ai mei guan xi	暧昧关系:345
ai mei li	爱美丽:304
ai mei zhi xin	爱美之心:516
ai mi er	埃米尔:388
ai mian zi	爱面子:352
ai miao	爱苗:250
ai min	爱民:482
ai ming	哀鸣:404
ai mo	癌魔:247
ai mo neng zhu	爱莫能助:378
ai mo sheng	爱默生:320
ai mu	爱慕:494
ai mu xu rong	爱慕虚荣:486
ai mu zhi qing	爱慕之情:499
ai nai	欸乃:325
ai nai na mei	爱乃娜美:525
ai nan	碍难:362
ai nao	爱闹:478
ai ni	爱你:739,挨你:418
ai ni de ren	爱你的人:589
ai ni shou shi	爱你手势:484
ai ni yi wan nian	爱你一万年:515
ai niao	爱鸟:334
ai nin	爱您:508
ai nv	爱女:445
ai pang	矮胖:456
ai pi	挨批:355
ai pin	爱拼:424
ai pu sheng	爱普生:398
ai pu xi long	艾普西隆:484
ai qi	爱妻:432,哀泣:282
ai qian	爱钱:519
ai qian bing bian	癌前病变:509
ai qiang	矮墙:429
ai qie	爱妾:384
ai qin	爱琴:414
ai qin hai	爱琴海:460
ai qing	爱情:678,爱卿:320
ai qing bei ju	爱情悲剧:480
ai qing bin guan	爱情宾馆:484
ai qing dian ying	爱情电影:506
ai qing gu shi	爱情故事:379
ai qing guan	爱情观:328
ai qing jiu dian	爱情酒店:484
ai qing lv dian	爱情旅店:484
ai qing lv guan	爱情旅馆:484
ai qing pian	爱情片:346
ai qing shang	爱情上:511
ai qing sheng huo	爱情生活:522
ai qing xiao shuo	爱情小说:314
ai qing xuan yan	爱情宣言:522
ai qiu	哀求:511
ai qiu dao	哀求道:481
ai qu	爱去:418
ai quan	爱犬:366
ai qun	爱群:541
ai ran	蔼然:280,爱染:254
ai ren	矮人:621,爱人:541
ai ren min	爱人民:519
ai ren zu	矮人族:293
ai rong	艾绒:339,哀荣:265
ai sai e bi ya	埃塞俄比亚:516
ai sai e bi ya lian bang min zhu gong he guo	埃塞俄比亚联邦民主共和国:549
ai se	爱色:437
ai sen	埃森:355
ai sen hao wei er	艾森豪威尔:441
ai sen zhe	埃森哲:301
ai sha	艾莎:549
ai sha ni ya	爱沙尼亚:458
ai shang	爱上:700,哀伤:492,挨上:474
ai shang bie ren	爱上别人:480
ai shang le	爱上了:660
ai shang le ta	爱上了他:518,爱上了她:516
ai shang ni	爱上你:348
ai shang ta	爱上他:520,爱上她:519
ai shang wo	爱上我:526
ai shang yi ge	爱上一个:567
ai shang yi ge ren	爱上一个人:532
ai shei	爱谁:525
ai shen	爱神:433
ai sheng	哀声:447
ai sheng tan qi	唉声叹气:438
ai shi	碍事:444
ai shi gu fen	爱使股份:562
ai shi meng luo	爱世梦罗:525
ai shi shen me	爱是什么:493
ai shou	矮瘦:395
ai shu	爱书:308,矮树:271
ai shua	爱耍:454
ai shui	爱谁:525,爱睡:460
ai shuo	爱说:559
ai si	爱死:525,艾斯:418,哀思:392
ai si ni le	爱死你了:479
ai ta	爱他:549,爱她:514
ai tan	哀叹:438
ai ti	爱提:412
ai tian	爱甜:418
ai tian fei niao	爱田飞鸟:525
ai tian nai nai	爱田奈奈:525
ai tiao	爱跳:416
ai ting	爱听:592
ai tong	哀痛:410,哀恸:324
ai tu	爱吐:418,爱徒:352
ai wan	哀婉:372,爱玩:339
ai wei ban	爱卫办:308
ai wei hui	爱卫会:335
ai wen	爱问:531
ai wo	爱我:698
ai wo de ren	爱我的人:571
ai wo ma	爱我吗:308
ai wo suo ai	爱我所爱:307
ai wu	爱屋:502,矮屋:236
ai wu ji wu	爱屋及乌:378
ai xi	爱惜:510,艾希:418
ai xi bao	癌细胞:496
ai xia	爱下:484
ai xian	爱现:274
ai xiang	爱想:410,爱乡:296
ai xiao	爱笑:561,矮小:498,爱校:302
ai xiao de	矮小的:533
ai xie	爱写:480
ai xin	爱心:616
ai xin da shi	爱心大使:505
ai xin huan rao	爱心环绕:484
ai xin jue luo	爱新觉罗:409
ai xing	矮星:271
ai xue xi	爱学习:524
ai xun	挨训:418
ai ya	哎呀:555
ai ya ya	哎呀呀:366
ai yan	碍眼:352,哀艳:240
ai ye	爱液:312
ai ye bao	艾叶豹:549
ai yi	爱意:459
ai yi ge ren	爱一个人:641
ai yi hang	爱一行:510
ai yi qiang	挨一枪:483
ai yin huo wen	埃因霍温:410
ai yin ma li ya	爱音麻里亚:525
ai yin si tan	爱因斯坦:560
ai yin yue	爱音乐:481
ai yin yue de	爱音乐的:492
ai ying	爱婴:575
ai yo	哎哟:506
ai yo wei	哎哟喂:549
ai you	哎哟:474,爱幼:252
ai you wei	哎哟喂:549
ai yu	爱欲:546,碍于:443,爱语:290
ai yu bei ai	爱与被爱:516
ai yu bu ai	爱与不爱:496
ai yu hen	爱与恨:306
ai yuan	哀怨:459,爱媛:416
ai yuan sha ye	爱原沙耶:525
ai yue	哀乐:417,爱乐:409,爱悦:244
ai yue yue tuan	爱乐乐团:372
ai zai	爱在:542,挨在:534,挨宰:330,哀哉:290
ai ze la si	艾泽拉斯:312
ai ze you sha	爱泽有纱:525
ai zeng	爱憎:420
ai zeng fen ming	爱憎分明:370
ai zhai	矮寨:483
ai zhe	爱着:641,挨着:504
ai zhe ni	爱着你:568
ai zhe ta	爱着他:497,爱着她:497
ai zhe wo	爱着我:485
ai zheng	癌症:598,挨整:318
ai zheng bing ren	癌症病人:304
ai zhi	爱之:603
ai zhong	癌肿:374
ai zhuo	矮桌:422
ai zi	矮子:486,爱子:386,艾滋:360
ai zi bing	艾滋病:632
ai zi bing bing du	艾滋病病毒:640
ai zi bing du	艾滋病毒:400
ai zi bing fang zhi	艾滋病防治:612
ai zi bing ren	艾滋病人:516
ai zi ji	爱自己:625
ai zong	艾总:418
ai zou	爱走:472,挨揍:348
ai zu guo	爱祖国:322
ai zuo	爱做:549,挨坐:418
an	按:835,安:760,暗:754,案:705,岸:648,俺:610,黯:587,庵:522,鞍:515,谙:481,氨:422,胺:389,鹌:388,桉:384,犴:368,唵:327,铵:268,埯:219,𩽾:200,盦:175,垵:99,揞:38,厂:38,广:38
an an	暗暗:556,按按:459
an an de	暗暗地:530
an an jing jing	安安静静:412
an an wen wen	安安稳稳:402
an ba	安吧:514,俺爸:459
an ban	案板:422,暗斑:410
an bang	安邦:369
an bao	安包:484,安保:451,暗堡:323
an bei	按背:418,安倍:383
an bei jin san	安倍晋三:350
an bi	岸壁:295
an bi li	按比例:628
an bian	岸边:555,安边:320
an biao zhun	按标准:581
an bing	暗病:280
an bing bu dong	按兵不动:438
an bu	按不:560,按部:491,安瓿:477,庵埠:466,暗补:292
an bu jiu ban	按部就班:464
an bu tong	按不同:590
an cang	暗藏:494
an cang zhe	暗藏着:490
an cha	安插:433,暗查:260
an cha jian	氨茶碱:322
an cha shi	按察使:406
an chan	安禅:412
an chang	暗娼:371,暗场:241
an chang gui	按常规:537
an chao	暗潮:292
an chen	暗沉:514
an chu	按出:554,暗处:456
an chuang	暗疮:396
an chun	鹌鹑:440
an chun dan	鹌鹑蛋:329
an ci	按此:666,按词:393,按次:308
an cun	暗忖:549,俺村:320
an cuo	按错:514,俺错:418
an cuo le	按错了:514
an da	谙达:339,安打:269
an da lve	安大略:390
an da xi li	安达夕莉:525
an da xin	安达信:306
an dai	暗袋:262
an dan	暗淡:514,黯淡:492,氨氮:289
an dan wu guang	暗淡无光:352,黯淡无光:324
an dang di	按当地:542
an dao	按到:524,暗道:511,按倒:349
an dao er	安道尔:426
an dao er gong guo	安道尔公国:340
an dao li	按道理:507
an de	俺的:588,按的:509,安得:338,暗得:246
an de lie	安德烈:439
an de lu	安德鲁:464
an de sen	安德森:452
an di	安迪:463,暗地:440,案底:288
an di li	暗地里:480
an dian	暗点:292,暗殿:260
an ding	安定:608
an ding men	安定门:479
an ding tuan jie	安定团结:460
an ding xia lai	安定下来:519
an ding xing	安定性:306
an dong	按动:426
an dong ni	安东尼:500
an dong ni ao	安东尼奥:415
an dou	暗斗:263
an du	暗度:427,安度:378,案牍:304
an du chen cang	暗度陈仓:316
an du wan nian	安度晚年:305
an dun	安顿:488,按吨:418
an dun hao	安顿好:508
an dun xia lai	安顿下来:300
an fa	案发:436
an fa hou	案发后:330
an fa lv	按法律:491
an fa qian	案发前:291
an fa xian chang	案发现场:306
an fan	案犯:360
an fang	安放:538,暗访:404,暗房:352,安防:350
an fang chan pin	安防产品:566
an fang jian kong	安防监控:530
an fen	安分:440
an fen shou ji	安分守己:410
an feng	暗讽:266
an fu	安抚:557
an gai	暗改:484
an gai le	暗改了:484
an gan	安敢:284
an gang	暗杠:549
an ge	按个:501,安个:484,俺哥:418,暗格:317
an ge la	安哥拉:489
an ge la gong he guo	安哥拉共和国:549
an ge si	安格斯:316
an gou	暗沟:284
an gu	安固:246
an guan	暗管:275
an guan li	按惯例:512,按管理:500
an guang	暗光:326
an gui	安规:538
an gui ding	按规定:514
an gui la	安圭拉:350
an gui ren zheng	安规认证:486
an guo	按过:429,安国:386
an guo ji	按国际:579
an guo jia	按国家:663
an guo jia you guan gui ding	按国家有关规定:588
an hai	俺还:484,暗害:364
an han	暗含:394
an hang ye	按行业:571
an hao	暗号:460,安好:456,按好:393
an he	暗河:412,暗合:391,暗盒:288
an he se	暗褐色:294
an he tong	按合同:620
an hei	暗黑:463,黯黑:256
an hen	暗恨:452
an hong	暗红:434
an hong se	暗红色:448
an hong se de	暗红色的:519
an hou	案后:418
an hu	按户:549
an hua	胺化:390,暗花:320
an huang	暗黄:514
an hui	安徽:666,暗灰:312
an hui che	按回车:582
an hui da xue	安徽大学:392
an hui fu yang	安徽阜阳:501
an hui he fei	安徽合肥:566
an hui ri bao	安徽日报:483
an hui sheng	安徽省:630
an hui sheng ren min zheng fu	安徽省人民政府:511
an hui shi fan da xue	安徽师范大学:329
an hui wei shi	安徽卫视:519
an hun	安魂:289
an hun qu	安魂曲:327
an huo	暗火:346
an ji	按季:569,氨基:544,岸基:378,暗记:336,案几:264,暗疾:260
an ji ben	按基本:496
an ji hua	庵姬花:525,按计划:476
an ji li na	安吉丽娜:308
an ji suan	氨基酸:574
an ji xian	安吉县:366
an jia	按价:531,安家:472,俺家:442
an jia fei	安家费:361
an jia luo hu	安家落户:378
an jian	案件:640,暗间:604,安监:602,按键:526,安检:448,暗箭:440
an jian cai liao	案件材料:300
an jian cha chu	案件查处:535
an jian jing ling	按键精灵:306
an jian ju	安监局:354
an jian shen li	案件审理:559
an jian shi	案件时:585
an jian xian suo	案件线索:316
an jian zhong	案件中:646
an jian zong ju	安监总局:519
an jiao	按脚:528,暗角:424,暗礁:383,暗叫:260
an jie	按揭:510
an jie dai kuan	按揭贷款:676
an jie lun	安捷伦:352
an jin	按进:484
an jing	安静:630,暗井:412
an jing de	安静的:484
an jing de lian	安静的脸:484
an jing le	安静了:562
an jing xia lai	安静下来:346
an jiu	按酒:380
an ju	安居:494
an ju gong cheng	安居工程:356
an ju le ye	安居乐业:481
an juan	案卷:497
an kai	按开:484
an kan	俺看:491
an kang	安康:504
an kang shi	安康市:369
an ke bi	按可比:534
an kong ge jian	按空格键:499
an kou	暗扣:319
an kou er	按扣儿:549
an kuai jie jian	按快捷键:497
an la	安啦:484,安拉:404
an la ba	按喇叭:486
an lan	暗蓝:477
an lao fen pei	按劳分配:484
an le	按了:597,安乐:426,安了:413,暗了:384
an le si	安乐死:392
an le wo	安乐窝:350
an le xia lai	暗了下来:511
an lei	按类:555,胺类:392
an li	案例:632,庵里:472,按理:436,暗里:412,安利:402,按例:325
an li chan pin	安利产品:527
an li fen xi	案例分析:674
an li hui	安理会:528
an li lu	安立路:309
an li ping xi	案例评析:499
an li shuo	按理说:462
an li yan jiu	案例研究:557
an lian	暗恋:454
an liang	按量:535
an ling	按铃:286
an liu	暗流:422
an lu shan	安禄山:455
an lun	氨纶:386
an lv	按律:418,暗绿:331
an ma	鞍马:434,暗骂:332,暗码:253
an mei	俺妹:484
an mei bo	安美波:525
an mei ge	按每个:494
an men	俺们:530,暗门:378
an men ling	按门铃:485
an mian	安眠:406
an mian yao	安眠药:453
an miao	按秒:484
an miao ji fei	按秒计费:484
an miao shou fei	按秒收费:484
an mie	黯灭:549
an min	安民:460
an mo	按摩:608
an mo bang	按摩棒:292
an mo fa	按摩法:294
an mo qi	按摩器:314
an mo shi	按摩师:356,按摩室:310
an mo shou fa	按摩手法:496
an mo shuang	按摩霜:483
an mo yi	按摩椅:301
an mo you	按摩油:494
an mo yu gang	按摩浴缸:515
an mo yuan	按摩院:308
an mou	安某:459
an mu	暗牧:412
an mu qian	按目前:542
an na	安娜:570,按那:514,按捺:413
an na bu zhu	按捺不住:490
an nan	安南:500
an nei	安内:433,案内:264
an nei rong	按内容:480
an neng	安能:316
an ni	按你:549,安妮:413
an ni de	按你的:549
an ni si dun	安妮斯顿:293
an nian	按年:615
an niang	俺娘:493
an nie	按捏:418
an ning	安宁:564
an niu	按钮:559
an niu kai guan	按钮开关:293
an niu shi	按钮时:530
an pai	安排:718
an pai biao	安排表:386
an pai bu shu	安排部署:593
an pai gong zuo	安排工作:578
an pai hao	安排好:638
an pai le	安排了:662
an pai ren yuan	安排人员:507
an pai sheng chan	安排生产:487
an pai shi jian	安排时间:536
an pai shi su	安排食宿:493
an pai tuo dang	安排妥当:486
an pai xia	安排下:580
an pai zi jin	安排资金:522
an pan	暗盘:256
an pao	岸炮:336
an pei	安培:446
an pi	按批:515
an pin	安贫:308
an ping xian	安平县:327
an qi	按其:661,暗器:563,按期:504,暗棋:418,氨气:403
an qi er	安琪儿:294
an qi la	安其拉:486
an qi wan cheng	按期完成:544
an qi xuan	安七炫:509
an qi ye	按企业:577
an qiao	岸桥:418
an qie luo di	安切洛蒂:312
an qin	安寝:445
an qing	案情:553
an qing fu za	案情复杂:507
an qing shi	安庆市:414
an qing zhong da	案情重大:512
an qiu shi	安丘市:326
an qu	俺去:466,暗渠:286
an quan	安全:727
an quan bao hu	安全保护:649
an quan bao mi	安全保密:554
an quan bao wei	安全保卫:596
an quan bao wei gong zuo	安全保卫工作:560
an quan bao zhang	安全保障:650
an quan bao zheng	安全保证:529
an quan bei xin	安全背心:484
an quan biao zhi	安全标志:324
an quan biao zhun	安全标准:619
an quan bie zhen	安全别针:484
an quan bo li	安全玻璃:313
an quan bu	安全部:392
an quan bu ding	安全补丁:308
an quan bu dui	安全部队:357
an quan bu men	安全部门:372
an quan cao zuo	安全操作:539
an quan cao zuo gui cheng	安全操作规程:533
an quan ce lve	安全策略:358
an quan chan pin	安全产品:570
an quan chang shi	安全常识:487
an quan chu kou	安全出口:540
an quan cuo shi	安全措施:452
an quan dai	安全带:484
an quan de	安全的:782,安全地:605
an quan di dai	安全地带:508
an quan di yi	安全第一:613
an quan du	安全度:531
an quan fa	安全法:458,安全阀:381
an quan fa gui	安全法规:492
an quan fa zhan	安全发展:542
an quan fang fan	安全防范:643
an quan fang hu	安全防护:638
an quan fang mian	安全方面:583
an quan fen xi	安全分析:478
an quan fu wu	安全服务:562
an quan gan	安全感:525
an quan gong zuo	安全工作:671
an quan guan	安全观:350
an quan guan li	安全管理:721
an quan gui cheng	安全规程:526
an quan gui ze	安全规则:515
an quan ji	安全级:501
an quan ji shu	安全技术:679
an quan ji zhi	安全机制:564
an quan jia shi	安全驾驶:560
an quan jian cha	安全监察:626,安全检查:457
an quan jian du	安全监督:630
an quan jian guan	安全监管:368
an quan jiao yu	安全教育:640
an quan ju	安全局:534
an quan ju li	安全距离:558
an quan ke kao	安全可靠:371
an quan kong zhi	安全控制:366
an quan lou dong	安全漏洞:356
an quan ma	安全吗:526,安全码:487
an quan mao	安全帽:349
an quan men	安全门:344
an quan mo shi	安全模式:604
an quan ping gu	安全评估:532
an quan ping jia	安全评价:618
an quan qi	安全期:362
an quan qi nang	安全气囊:372
an quan qu	安全区:388
an quan ren zheng	安全认证:599
an quan ri zhi	安全日志:511
an quan she bei	安全设备:330
an quan she ji	安全设计:498
an quan she shi	安全设施:611
an quan sheng chan	安全生产:781
an quan sheng chan fa	安全生产法:584
an quan sheng chan gong zuo	安全生产工作:655
an quan sheng chan guan li	安全生产管理:577
an quan sheng chan tiao jian	安全生产条件:588
an quan sheng chan wei yuan hui	安全生产委员会:516
an quan sheng chan xu ke zheng	安全生产许可证:629
an quan sheng chan yue	安全生产月:527
an quan shi gong	安全施工:540
an quan shi gu	安全事故:388
an quan shi yong	安全使用:581
an quan tao	安全套:465
an quan tou ru	安全投入:503
an quan wang	安全网:373
an quan wang luo	安全网络:493
an quan wei sheng	安全卫生:353
an quan wei shi	安全卫士:345
an quan wei xie	安全威胁:556
an quan wen ti	安全问题:670
an quan xi shu	安全系数:434
an quan xi tong	安全系统:585
an quan xin xi	安全信息:535
an quan xing	安全性:595,安全型:514
an quan xing che	安全行车:520
an quan xing neng	安全性能:612
an quan xing shi	安全形势:319
an quan xu qiu	安全需求:503
an quan xuan xiang	安全选项:524
an quan yao qiu	安全要求:591
an quan yi shi	安全意识:358
an quan yin huan	安全隐患:384
an quan yong dian	安全用电:523
an quan yuan	安全员:332
an quan yun shu	安全运输:480
an quan yun xing	安全运行:593
an quan zhi du	安全制度:520
an quan zhi shi	安全知识:580
an quan zhuan jia	安全专家:543
an quan zhuang zhi	安全装置:314
an ran	黯然:536,安然:506
an ran shen shang	黯然神伤:413
an ran shi se	黯然失色:416
an ran wu yang	安然无恙:452
an ran xiao hun	黯然销魂:297
an ren	按人:514
an ren jun	按人均:477
an ren tou	按人头:514
an ri	按日:593
an ruo	暗弱:324
an se	暗色:440
